raw	filter	volt	cm
138.00	130.55	0.68	49.21	
136.00	140.15	0.67	45.49	
137.00	140.47	0.67	45.37	
138.00	141.05	0.68	45.16	
163.00	142.58	0.80	44.62	
138.00	137.86	0.68	46.33	
138.00	137.85	0.68	46.33	
136.00	141.32	0.67	45.07	
140.00	141.39	0.69	45.04	
142.00	141.46	0.70	45.02	
139.00	141.10	0.68	45.15	
138.00	140.98	0.68	45.19	
138.00	140.18	0.68	45.47	
138.00	138.90	0.68	45.94	
135.00	141.73	0.66	44.92	
173.00	142.64	0.85	44.60	
138.00	143.15	0.68	44.43	
135.00	141.35	0.66	45.06	
145.00	144.48	0.71	43.97	
150.00	147.99	0.74	42.81	
154.00	155.92	0.75	40.38	
153.00	155.99	0.75	40.36	
153.00	153.65	0.75	41.05	
154.00	155.35	0.75	40.55	
155.00	155.85	0.76	40.40	
153.00	156.75	0.75	40.14	
191.00	160.66	0.94	39.05	
151.00	158.36	0.74	39.69	
152.00	159.75	0.74	39.30	
157.00	157.74	0.77	39.86	
153.00	157.05	0.75	40.06	
152.00	154.32	0.74	40.85	
152.00	152.90	0.74	41.28	
152.00	157.29	0.74	39.99	
176.00	160.48	0.86	39.10	
167.00	163.57	0.82	38.27	
168.00	171.73	0.82	36.22	
169.00	172.29	0.83	36.09	
169.00	171.79	0.83	36.21	
168.00	172.94	0.82	35.94	
168.00	169.99	0.82	36.64	
170.00	172.54	0.83	36.03	
168.00	172.83	0.82	35.96	
168.00	171.71	0.82	36.23	
172.00	173.60	0.84	35.78	
171.00	173.70	0.84	35.76	
167.00	172.80	0.82	35.97	
172.00	174.60	0.84	35.55	
168.00	172.70	0.82	35.99	
170.00	172.32	0.83	36.09	
180.00	174.65	0.88	35.54	
188.00	190.02	0.92	32.29	
189.00	189.03	0.93	32.48	
188.00	187.94	0.92	32.70	
194.00	191.30	0.95	32.04	
189.00	191.65	0.93	31.98	
215.00	195.48	1.05	31.26	
188.00	195.12	0.92	31.33	
189.00	189.67	0.93	32.36	
191.00	188.35	0.94	32.62	
188.00	193.95	0.92	31.54	
189.00	193.80	0.93	31.57	
188.00	194.34	0.92	31.47	
217.00	195.84	1.06	31.19	
190.00	195.35	0.93	31.28	
188.00	193.77	0.92	31.58	
189.00	189.06	0.93	32.48	
190.00	193.76	0.93	31.58	
191.00	194.17	0.94	31.50	
188.00	194.23	0.92	31.49	
197.00	189.88	0.97	32.32	
188.00	190.47	0.92	32.20	
176.00	189.27	0.86	32.44	
189.00	193.16	0.93	31.69	
200.00	199.24	0.98	30.59	
220.00	216.00	1.08	27.86	
221.00	222.57	1.08	26.91	
208.00	222.13	1.02	26.97	
221.00	221.81	1.08	27.02	
221.00	222.08	1.08	26.98	
221.00	226.31	1.08	26.39	
221.00	226.29	1.08	26.39	
221.00	226.14	1.08	26.42	
226.00	224.10	1.11	26.70	
221.00	223.27	1.08	26.81	
221.00	227.21	1.08	26.27	
221.00	223.72	1.08	26.75	
221.00	221.61	1.08	27.05	
221.00	221.87	1.08	27.01	
224.00	224.08	1.10	26.70	
221.00	224.66	1.08	26.62	
222.00	225.35	1.09	26.52	
221.00	224.95	1.08	26.58	
220.00	226.71	1.08	26.34	
252.00	227.44	1.23	26.24	
221.00	221.87	1.08	27.01	
221.00	221.67	1.08	27.04	
221.00	224.21	1.08	26.68	
221.00	224.91	1.08	26.58	
221.00	224.18	1.08	26.69	
255.00	225.26	1.25	26.54	
